BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP-Cst65_II-G03,MVZCCGP-Cst65_II-G03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst65_II-G03_R1.fastq.gz,MVZCCGP-Cst65_II-G03_R2.fastq.gz,41.81648,-120.21368,41-Cyanocitta,MVZCCGP-Cst65_II-G03,41-Cyanocitta
MVZCCGP-Cst70_I-F05,MVZCCGP-Cst70_I-F05,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst70_I-F05_R1.fastq.gz,MVZCCGP-Cst70_I-F05_R2.fastq.gz,38.19977,-119.22143,41-Cyanocitta,MVZCCGP-Cst70_I-F05,41-Cyanocitta
MVZCCGP-Cst67_I-D05,MVZCCGP-Cst67_I-D05,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst67_I-D05_R1.fastq.gz,MVZCCGP-Cst67_I-D05_R2.fastq.gz,41.81648,-120.21368,41-Cyanocitta,MVZCCGP-Cst67_I-D05,41-Cyanocitta
MVZCCGP-Cst68_I-E05,MVZCCGP-Cst68_I-E05,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst68_I-E05_R1.fastq.gz,MVZCCGP-Cst68_I-E05_R2.fastq.gz,37.72183,-119.01223,41-Cyanocitta,MVZCCGP-Cst68_I-E05,41-Cyanocitta
MVZCCGP-Cst66_II-H03,MVZCCGP-Cst66_II-H03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst66_II-H03_R1.fastq.gz,MVZCCGP-Cst66_II-H03_R2.fastq.gz,41.81648,-120.21368,41-Cyanocitta,MVZCCGP-Cst66_II-H03,41-Cyanocitta
MVZCCGP-Cst64_II-F03,MVZCCGP-Cst64_II-F03,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst64_II-F03_R1.fastq.gz,MVZCCGP-Cst64_II-F03_R2.fastq.gz,41.71834,-120.3275,41-Cyanocitta,MVZCCGP-Cst64_II-F03,41-Cyanocitta
MVZCCGP-Cst71_I-G05,MVZCCGP-Cst71_I-G05,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst71_I-G05_R1.fastq.gz,MVZCCGP-Cst71_I-G05_R2.fastq.gz,37.75827,-119.01894,41-Cyanocitta,MVZCCGP-Cst71_I-G05,41-Cyanocitta
MVZCCGP-Cst72_II-A04,MVZCCGP-Cst72_II-A04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst72_II-A04_R1.fastq.gz,MVZCCGP-Cst72_II-A04_R2.fastq.gz,37.75827,-119.01894,41-Cyanocitta,MVZCCGP-Cst72_II-A04,41-Cyanocitta
MVZCCGP-Cst73_II-B04,MVZCCGP-Cst73_II-B04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst73_II-B04_R1.fastq.gz,MVZCCGP-Cst73_II-B04_R2.fastq.gz,37.6339,-118.978,41-Cyanocitta,MVZCCGP-Cst73_II-B04,41-Cyanocitta
MVZCCGP-Cst74_I-H05,MVZCCGP-Cst74_I-H05,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst74_I-H05_R1.fastq.gz,MVZCCGP-Cst74_I-H05_R2.fastq.gz,37.50169,-118.60634,41-Cyanocitta,MVZCCGP-Cst74_I-H05,41-Cyanocitta
MVZCCGP-Cst76_II-D04,MVZCCGP-Cst76_II-D04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst76_II-D04_R1.fastq.gz,MVZCCGP-Cst76_II-D04_R2.fastq.gz,36.37133,-121.56453,41-Cyanocitta,MVZCCGP-Cst76_II-D04,41-Cyanocitta
MVZCCGP-Cst77_II-E04,MVZCCGP-Cst77_II-E04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst77_II-E04_R1.fastq.gz,MVZCCGP-Cst77_II-E04_R2.fastq.gz,36.38244,-121.55891,41-Cyanocitta,MVZCCGP-Cst77_II-E04,41-Cyanocitta
MVZCCGP-Cst75_II-C04,MVZCCGP-Cst75_II-C04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst75_II-C04_R1.fastq.gz,MVZCCGP-Cst75_II-C04_R2.fastq.gz,36.37133,-121.56453,41-Cyanocitta,MVZCCGP-Cst75_II-C04,41-Cyanocitta
MVZCCGP-Cst78_I-A06,MVZCCGP-Cst78_I-A06,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst78_I-A06_R1.fastq.gz,MVZCCGP-Cst78_I-A06_R2.fastq.gz,36.38244,-121.55891,41-Cyanocitta,MVZCCGP-Cst78_I-A06,41-Cyanocitta
MVZCCGP-Cst79_II-F04,MVZCCGP-Cst79_II-F04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst79_II-F04_R1.fastq.gz,MVZCCGP-Cst79_II-F04_R2.fastq.gz,36.37619,-121.5484,41-Cyanocitta,MVZCCGP-Cst79_II-F04,41-Cyanocitta
MVZCCGP-Cst83_II-H04,MVZCCGP-Cst83_II-H04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst83_II-H04_R1.fastq.gz,MVZCCGP-Cst83_II-H04_R2.fastq.gz,39.98263,-121.0036,41-Cyanocitta,MVZCCGP-Cst83_II-H04,41-Cyanocitta
MVZCCGP-Cst80_II-G04,MVZCCGP-Cst80_II-G04,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst80_II-G04_R1.fastq.gz,MVZCCGP-Cst80_II-G04_R2.fastq.gz,36.37619,-121.5484,41-Cyanocitta,MVZCCGP-Cst80_II-G04,41-Cyanocitta
MVZCCGP-Cst84_I-B06,MVZCCGP-Cst84_I-B06,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst84_I-B06_R1.fastq.gz,MVZCCGP-Cst84_I-B06_R2.fastq.gz,39.96089,-121.05067,41-Cyanocitta,MVZCCGP-Cst84_I-B06,41-Cyanocitta
MVZCCGP-Cst81_II-E07,MVZCCGP-Cst81_II-E07,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst81_II-E07_R1.fastq.gz,MVZCCGP-Cst81_II-E07_R2.fastq.gz,36.0724,-121.59646,41-Cyanocitta,MVZCCGP-Cst81_II-E07,41-Cyanocitta
MVZCCGP-Cst85_I-C06,MVZCCGP-Cst85_I-C06,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst85_I-C06_R1.fastq.gz,MVZCCGP-Cst85_I-C06_R2.fastq.gz,39.96089,-121.05067,41-Cyanocitta,MVZCCGP-Cst85_I-C06,41-Cyanocitta
MVZCCGP-Cst86_II-A05,MVZCCGP-Cst86_II-A05,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst86_II-A05_R1.fastq.gz,MVZCCGP-Cst86_II-A05_R2.fastq.gz,33.73965,-116.72612,41-Cyanocitta,MVZCCGP-Cst86_II-A05,41-Cyanocitta
MVZCCGP-Cst88_I-E06,MVZCCGP-Cst88_I-E06,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst88_I-E06_R1.fastq.gz,MVZCCGP-Cst88_I-E06_R2.fastq.gz,33.71056,-116.68275,41-Cyanocitta,MVZCCGP-Cst88_I-E06,41-Cyanocitta
MVZCCGP-Cst87_I-D06,MVZCCGP-Cst87_I-D06,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst87_I-D06_R1.fastq.gz,MVZCCGP-Cst87_I-D06_R2.fastq.gz,33.825,-116.752,41-Cyanocitta,MVZCCGP-Cst87_I-D06,41-Cyanocitta
MVZCCGP-Cst90_I-G06,MVZCCGP-Cst90_I-G06,bCyaSte1.NCBI.p_ctg,MVZCCGP-Cst90_I-G06_R1.fastq.gz,MVZCCGP-Cst90_I-G06_R2.fastq.gz,33.7683,-116.66533,41-Cyanocitta,MVZCCGP-Cst90_I-G06,41-Cyanocitta
