BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject
MVZCCGP_Mme145-II_D04,MVZCCGP_Mme145-II_D04_S81,GCA_022749695.1,MVZCCGP_Mme145-II_D04_S81_R1_001.fastq.gz,MVZCCGP_Mme145-II_D04_S81_R2_001.fastq.gz,40.35205,-121.63515,41-Melospiza,MVZCCGP_Mme145-II_D04_S81,41-Melospiza
MVZCCGP_Mme142-II_C04,MVZCCGP_Mme142-II_C04_S82,GCA_022749695.1,MVZCCGP_Mme142-II_C04_S82_R1_001.fastq.gz,MVZCCGP_Mme142-II_C04_S82_R2_001.fastq.gz,37.638115,-121.213974,41-Melospiza,MVZCCGP_Mme142-II_C04_S82,41-Melospiza
MVZCCGP_Mme141-II_B04,MVZCCGP_Mme141-II_B04_S83,GCA_022749695.1,MVZCCGP_Mme141-II_B04_S83_R1_001.fastq.gz,MVZCCGP_Mme141-II_B04_S83_R2_001.fastq.gz,38.114112,-122.487845,41-Melospiza,MVZCCGP_Mme141-II_B04_S83,41-Melospiza
MVZCCGP_Mme147-II_E04,MVZCCGP_Mme147-II_E04_S80,GCA_022749695.1,MVZCCGP_Mme147-II_E04_S80_R1_001.fastq.gz,MVZCCGP_Mme147-II_E04_S80_R2_001.fastq.gz,40.34362,-121.434293,41-Melospiza,MVZCCGP_Mme147-II_E04_S80,41-Melospiza
MVZCCGP_Mme148-II_F04,MVZCCGP_Mme148-II_F04_S79,GCA_022749695.1,MVZCCGP_Mme148-II_F04_S79_R1_001.fastq.gz,MVZCCGP_Mme148-II_F04_S79_R2_001.fastq.gz,40.3397,-121.61018,41-Melospiza,MVZCCGP_Mme148-II_F04_S79,41-Melospiza
MVZCCGP_Mme150-II_G04,MVZCCGP_Mme150-II_G04_S78,GCA_022749695.1,MVZCCGP_Mme150-II_G04_S78_R1_001.fastq.gz,MVZCCGP_Mme150-II_G04_S78_R2_001.fastq.gz,38.8604,-122.4197,41-Melospiza,MVZCCGP_Mme150-II_G04_S78,41-Melospiza
MVZCCGP_Mme151-II_H04,MVZCCGP_Mme151-II_H04_S77,GCA_022749695.1,MVZCCGP_Mme151-II_H04_S77_R1_001.fastq.gz,MVZCCGP_Mme151-II_H04_S77_R2_001.fastq.gz,38.59126,-119.87477,41-Melospiza,MVZCCGP_Mme151-II_H04_S77,41-Melospiza
MVZCCGP_Mme152-II_A05,MVZCCGP_Mme152-II_A05_S76,GCA_022749695.1,MVZCCGP_Mme152-II_A05_S76_R1_001.fastq.gz,MVZCCGP_Mme152-II_A05_S76_R2_001.fastq.gz,38.59126,-119.87477,41-Melospiza,MVZCCGP_Mme152-II_A05_S76,41-Melospiza
MVZCCGP_Mme155-II_D05,MVZCCGP_Mme155-II_D05_S73,GCA_022749695.1,MVZCCGP_Mme155-II_D05_S73_R1_001.fastq.gz,MVZCCGP_Mme155-II_D05_S73_R2_001.fastq.gz,39.25802,-122.60094,41-Melospiza,MVZCCGP_Mme155-II_D05_S73,41-Melospiza
MVZCCGP_Mme154-II_C05,MVZCCGP_Mme154-II_C05_S74,GCA_022749695.1,MVZCCGP_Mme154-II_C05_S74_R1_001.fastq.gz,MVZCCGP_Mme154-II_C05_S74_R2_001.fastq.gz,39.28679,-122.58057,41-Melospiza,MVZCCGP_Mme154-II_C05_S74,41-Melospiza
MVZCCGP_Mme156-II_E05,MVZCCGP_Mme156-II_E05_S72,GCA_022749695.1,MVZCCGP_Mme156-II_E05_S72_R1_001.fastq.gz,MVZCCGP_Mme156-II_E05_S72_R2_001.fastq.gz,39.25366,-122.60886,41-Melospiza,MVZCCGP_Mme156-II_E05_S72,41-Melospiza
MVZCCGP_Mme153-II_B05,MVZCCGP_Mme153-II_B05_S75,GCA_022749695.1,MVZCCGP_Mme153-II_B05_S75_R1_001.fastq.gz,MVZCCGP_Mme153-II_B05_S75_R2_001.fastq.gz,39.60636,-121.739153,41-Melospiza,MVZCCGP_Mme153-II_B05_S75,41-Melospiza
MVZCCGP_Mme157-II_F05,MVZCCGP_Mme157-II_F05_S71,GCA_022749695.1,MVZCCGP_Mme157-II_F05_S71_R1_001.fastq.gz,MVZCCGP_Mme157-II_F05_S71_R2_001.fastq.gz,39.230883,-121.986949,41-Melospiza,MVZCCGP_Mme157-II_F05_S71,41-Melospiza
MVZCCGP_Mme158-II_G05,MVZCCGP_Mme158-II_G05_S70,GCA_022749695.1,MVZCCGP_Mme158-II_G05_S70_R1_001.fastq.gz,MVZCCGP_Mme158-II_G05_S70_R2_001.fastq.gz,39.42952,-121.89299,41-Melospiza,MVZCCGP_Mme158-II_G05_S70,41-Melospiza
MVZCCGP_Mme159-II_H05,MVZCCGP_Mme159-II_H05_S69,GCA_022749695.1,MVZCCGP_Mme159-II_H05_S69_R1_001.fastq.gz,MVZCCGP_Mme159-II_H05_S69_R2_001.fastq.gz,39.41777,-121.88157,41-Melospiza,MVZCCGP_Mme159-II_H05_S69,41-Melospiza
MVZCCGP_Mme160-II_A06,MVZCCGP_Mme160-II_A06_S68,GCA_022749695.1,MVZCCGP_Mme160-II_A06_S68_R1_001.fastq.gz,MVZCCGP_Mme160-II_A06_S68_R2_001.fastq.gz,39.43206,-121.90406,41-Melospiza,MVZCCGP_Mme160-II_A06_S68,41-Melospiza
MVZCCGP_Mme161-II_B06,MVZCCGP_Mme161-II_B06_S67,GCA_022749695.1,MVZCCGP_Mme161-II_B06_S67_R1_001.fastq.gz,MVZCCGP_Mme161-II_B06_S67_R2_001.fastq.gz,40.94695,-123.49322,41-Melospiza,MVZCCGP_Mme161-II_B06_S67,41-Melospiza
MVZCCGP_Mme162-II_C06,MVZCCGP_Mme162-II_C06_S66,GCA_022749695.1,MVZCCGP_Mme162-II_C06_S66_R1_001.fastq.gz,MVZCCGP_Mme162-II_C06_S66_R2_001.fastq.gz,41.25198,-123.63615,41-Melospiza,MVZCCGP_Mme162-II_C06_S66,41-Melospiza
MVZCCGP_Mme163-II_D06,MVZCCGP_Mme163-II_D06_S65,GCA_022749695.1,MVZCCGP_Mme163-II_D06_S65_R1_001.fastq.gz,MVZCCGP_Mme163-II_D06_S65_R2_001.fastq.gz,38.32193,-119.44907,41-Melospiza,MVZCCGP_Mme163-II_D06_S65,41-Melospiza
MVZCCGP_Mme164-II_E06,MVZCCGP_Mme164-II_E06_S64,GCA_022749695.1,MVZCCGP_Mme164-II_E06_S64_R1_001.fastq.gz,MVZCCGP_Mme164-II_E06_S64_R2_001.fastq.gz,38.32193,-119.44907,41-Melospiza,MVZCCGP_Mme164-II_E06_S64,41-Melospiza
MVZCCGP_Mme165-II_F06,MVZCCGP_Mme165-II_F06_S63,GCA_022749695.1,MVZCCGP_Mme165-II_F06_S63_R1_001.fastq.gz,MVZCCGP_Mme165-II_F06_S63_R2_001.fastq.gz,38.44179,-119.42516,41-Melospiza,MVZCCGP_Mme165-II_F06_S63,41-Melospiza
MVZCCGP_Mme166-II_G06,MVZCCGP_Mme166-II_G06_S62,GCA_022749695.1,MVZCCGP_Mme166-II_G06_S62_R1_001.fastq.gz,MVZCCGP_Mme166-II_G06_S62_R2_001.fastq.gz,39.93866,-120.65155,41-Melospiza,MVZCCGP_Mme166-II_G06_S62,41-Melospiza
MVZCCGP_Mme167-II_H06,MVZCCGP_Mme167-II_H06_S61,GCA_022749695.1,MVZCCGP_Mme167-II_H06_S61_R1_001.fastq.gz,MVZCCGP_Mme167-II_H06_S61_R2_001.fastq.gz,39.93866,-120.65155,41-Melospiza,MVZCCGP_Mme167-II_H06_S61,41-Melospiza
MVZCCGP_Mme168-II_A07,MVZCCGP_Mme168-II_A07_S60,GCA_022749695.1,MVZCCGP_Mme168-II_A07_S60_R1_001.fastq.gz,MVZCCGP_Mme168-II_A07_S60_R2_001.fastq.gz,37.381519,-121.741853,41-Melospiza,MVZCCGP_Mme168-II_A07_S60,41-Melospiza
MVZCCGP_Mme170-II_C07,MVZCCGP_Mme170-II_C07_S58,GCA_022749695.1,MVZCCGP_Mme170-II_C07_S58_R1_001.fastq.gz,MVZCCGP_Mme170-II_C07_S58_R2_001.fastq.gz,41.53165,-123.52715,41-Melospiza,MVZCCGP_Mme170-II_C07_S58,41-Melospiza
MVZCCGP_Mme169-II_B07,MVZCCGP_Mme169-II_B07_S59,GCA_022749695.1,MVZCCGP_Mme169-II_B07_S59_R1_001.fastq.gz,MVZCCGP_Mme169-II_B07_S59_R2_001.fastq.gz,41.53165,-123.52715,41-Melospiza,MVZCCGP_Mme169-II_B07_S59,41-Melospiza
MVZCCGP_Mme171-II_D07,MVZCCGP_Mme171-II_D07_S57,GCA_022749695.1,MVZCCGP_Mme171-II_D07_S57_R1_001.fastq.gz,MVZCCGP_Mme171-II_D07_S57_R2_001.fastq.gz,38.779,-121.6359,41-Melospiza,MVZCCGP_Mme171-II_D07_S57,41-Melospiza
MVZCCGP_Mme172-II_E07,MVZCCGP_Mme172-II_E07_S56,GCA_022749695.1,MVZCCGP_Mme172-II_E07_S56_R1_001.fastq.gz,MVZCCGP_Mme172-II_E07_S56_R2_001.fastq.gz,40.67471,-122.97548,41-Melospiza,MVZCCGP_Mme172-II_E07_S56,41-Melospiza
MVZCCGP_Mme173-II_F07,MVZCCGP_Mme173-II_F07_S55,GCA_022749695.1,MVZCCGP_Mme173-II_F07_S55_R1_001.fastq.gz,MVZCCGP_Mme173-II_F07_S55_R2_001.fastq.gz,40.67471,-122.97548,41-Melospiza,MVZCCGP_Mme173-II_F07_S55,41-Melospiza
