BioSample,LibraryName,refGenome,fq1,fq2,lat,long,Organism,Run,BioProject,SampleType
MVZCCGP_Mfo36-I_G03,MVZCCGP_Mfo36-I_G03_1,GCA_026170545.1,MVZCCGP_Mfo36-I_G03_R1.fastq.gz,MVZCCGP_Mfo36-I_G03_R2.fastq.gz,34.126522,-117.850145,41-Melanerpes,MVZCCGP_Mfo36-I_G03_1,41-Melanerpes,
MVZCCGP_Mfo36-I_G03,MVZCCGP_Mfo36-I_G03_3,GCA_026170545.1,MVZCCGP-Mfo36_S65_L004_R1_001.fastq.gz,MVZCCGP-Mfo36_S65_L004_R2_001.fastq.gz,34.126522,-117.850145,41-Melanerpes,MVZCCGP_Mfo36-I_G03_3,41-Melanerpes,
MVZCCGP_Mfo57-I_C06,MVZCCGP_Mfo57-I_C06_1,GCA_026170545.1,MVZCCGP_Mfo57-I_C06_R1.fastq.gz,MVZCCGP_Mfo57-I_C06_R2.fastq.gz,38.081,-122.835,41-Melanerpes,MVZCCGP_Mfo57-I_C06_1,41-Melanerpes,
MVZCCGP_Mfo65-I_B07,MVZCCGP_Mfo65-I_B07_1,GCA_026170545.1,MVZCCGP_Mfo65-I_B07_R1.fastq.gz,MVZCCGP_Mfo65-I_B07_R2.fastq.gz,36.37907777,-121.5669772,41-Melanerpes,MVZCCGP_Mfo65-I_B07_1,41-Melanerpes,
MVZCCGP_Mfo65-I_B07,MVZCCGP_Mfo65-I_B07_3,GCA_026170545.1,MVZCCGP-Mfo65_S15_L004_R1_001.fastq.gz,MVZCCGP-Mfo65_S15_L004_R2_001.fastq.gz,36.37907777,-121.5669772,41-Melanerpes,MVZCCGP_Mfo65-I_B07_3,41-Melanerpes,
MVZCCGP_Mfo103-I_G11,MVZCCGP_Mfo103-I_G11_1,GCA_026170545.1,MVZCCGP_Mfo103-I_G11_R1.fastq.gz,MVZCCGP_Mfo103-I_G11_R2.fastq.gz,32.8722744,-116.41835,41-Melanerpes,MVZCCGP_Mfo103-I_G11_1,41-Melanerpes,
MVZCCGP_Mfo103-I_G11,MVZCCGP_Mfo103-I_G11_3,GCA_026170545.1,MVZCCGP-Mfo103_S55_L004_R1_001.fastq.gz,MVZCCGP-Mfo103_S55_L004_R2_001.fastq.gz,32.8722744,-116.41835,41-Melanerpes,MVZCCGP_Mfo103-I_G11_3,41-Melanerpes,
MVZCCGP_Mfo138-II_A04,MVZCCGP_Mfo138-II_A04_1,GCA_026170545.1,MVZCCGP_Mfo138-II_A04_R1.fastq.gz,MVZCCGP_Mfo138-II_A04_R2.fastq.gz,40.27658,-122.51036,41-Melanerpes,MVZCCGP_Mfo138-II_A04_1,41-Melanerpes,
MVZCCGP_Mfo138-II_A04,MVZCCGP_Mfo138-II_A04_3,GCA_026170545.1,MVZCCGP-Mfo138_S98_L004_R1_001.fastq.gz,MVZCCGP-Mfo138_S98_L004_R2_001.fastq.gz,40.27658,-122.51036,41-Melanerpes,MVZCCGP_Mfo138-II_A04_3,41-Melanerpes,
MVZCCGP_Mfo166-II_C07,MVZCCGP_Mfo166-II_C07_1,GCA_026170545.1,MVZCCGP_Mfo166-II_C07_R1.fastq.gz,MVZCCGP_Mfo166-II_C07_R2.fastq.gz,41.262543,-121.498412,41-Melanerpes,MVZCCGP_Mfo166-II_C07_1,41-Melanerpes,
