BioSample,LibraryName,refGenome,Organism,fq1,fq2,lat,long,Run,BioProject
CHI07,CHI07_S26_L002,GCA_022045235.1,Haliotis cracherodii,CHI07_S26_L002_R1_001.fastq.gz,CHI07_S26_L002_R2_001.fastq.gz,36.60674999,-121.959414,CHI07_S26_L002,x
GAR01,GAR01_S27_L002,GCA_022045235.1,Haliotis cracherodii,GAR01_S27_L002_R1_001.fastq.gz,GAR01_S27_L002_R2_001.fastq.gz,36.46892301,-121.934006,GAR01_S27_L002,x
GAR01,GAR01_S27_L004,GCA_022045235.1,Haliotis cracherodii,GAR01_S27_L004_R1_001.fastq.gz,GAR01_S27_L004_R2_001.fastq.gz,36.46892301,-121.934006,GAR01_S27_L004,x
GAR01,GAR01_S27_L003,GCA_022045235.1,Haliotis cracherodii,GAR01_S27_L003_R1_001.fastq.gz,GAR01_S27_L003_R2_001.fastq.gz,36.46892301,-121.934006,GAR01_S27_L003,x
GAR01,GAR01_S27_L001,GCA_022045235.1,Haliotis cracherodii,GAR01_S27_L001_R1_001.fastq.gz,GAR01_S27_L001_R2_001.fastq.gz,36.46892301,-121.934006,GAR01_S27_L001,x
GAR06,GAR06_S28_L001,GCA_022045235.1,Haliotis cracherodii,GAR06_S28_L001_R1_001.fastq.gz,GAR06_S28_L001_R2_001.fastq.gz,36.46901504,-121.93443,GAR06_S28_L001,x
GAR06,GAR06_S28_L003,GCA_022045235.1,Haliotis cracherodii,GAR06_S28_L003_R1_001.fastq.gz,GAR06_S28_L003_R2_001.fastq.gz,36.46901504,-121.93443,GAR06_S28_L003,x
GAR06,GAR06_S28_L004,GCA_022045235.1,Haliotis cracherodii,GAR06_S28_L004_R1_001.fastq.gz,GAR06_S28_L004_R2_001.fastq.gz,36.46901504,-121.93443,GAR06_S28_L004,x
GAR06,GAR06_S28_L002,GCA_022045235.1,Haliotis cracherodii,GAR06_S28_L002_R1_001.fastq.gz,GAR06_S28_L002_R2_001.fastq.gz,36.46901504,-121.93443,GAR06_S28_L002,x
HOP10,HOP10_S29_L001,GCA_022045235.1,Haliotis cracherodii,HOP10_S29_L001_R1_001.fastq.gz,HOP10_S29_L001_R2_001.fastq.gz,36.621376,-121.907862,HOP10_S29_L001,x
HOP10,HOP10_S29_L003,GCA_022045235.1,Haliotis cracherodii,HOP10_S29_L003_R1_001.fastq.gz,HOP10_S29_L003_R2_001.fastq.gz,36.621376,-121.907862,HOP10_S29_L003,x
HOP10,HOP10_S29_L002,GCA_022045235.1,Haliotis cracherodii,HOP10_S29_L002_R1_001.fastq.gz,HOP10_S29_L002_R2_001.fastq.gz,36.621376,-121.907862,HOP10_S29_L002,x
HOP10,HOP10_S29_L004,GCA_022045235.1,Haliotis cracherodii,HOP10_S29_L004_R1_001.fastq.gz,HOP10_S29_L004_R2_001.fastq.gz,36.621376,-121.907862,HOP10_S29_L004,x
HOP11,HOP11_S30_L001,GCA_022045235.1,Haliotis cracherodii,HOP11_S30_L001_R1_001.fastq.gz,HOP11_S30_L001_R2_001.fastq.gz,36.62122797,-121.908091,HOP11_S30_L001,x
HOP11,HOP11_S30_L002,GCA_022045235.1,Haliotis cracherodii,HOP11_S30_L002_R1_001.fastq.gz,HOP11_S30_L002_R2_001.fastq.gz,36.62122797,-121.908091,HOP11_S30_L002,x
HOP11,HOP11_S30_L004,GCA_022045235.1,Haliotis cracherodii,HOP11_S30_L004_R1_001.fastq.gz,HOP11_S30_L004_R2_001.fastq.gz,36.62122797,-121.908091,HOP11_S30_L004,x
HOP11,HOP11_S30_L003,GCA_022045235.1,Haliotis cracherodii,HOP11_S30_L003_R1_001.fastq.gz,HOP11_S30_L003_R2_001.fastq.gz,36.62122797,-121.908091,HOP11_S30_L003,x
MCR03,MCR03_S31_L001,GCA_022045235.1,Haliotis cracherodii,MCR03_S31_L001_R1_001.fastq.gz,MCR03_S31_L001_R2_001.fastq.gz,35.97968398,-121.490665,MCR03_S31_L001,x
MCR03,MCR03_S31_L002,GCA_022045235.1,Haliotis cracherodii,MCR03_S31_L002_R1_001.fastq.gz,MCR03_S31_L002_R2_001.fastq.gz,35.97968398,-121.490665,MCR03_S31_L002,x
MCR03,MCR03_S31_L003,GCA_022045235.1,Haliotis cracherodii,MCR03_S31_L003_R1_001.fastq.gz,MCR03_S31_L003_R2_001.fastq.gz,35.97968398,-121.490665,MCR03_S31_L003,x
MCR03,MCR03_S31_L004,GCA_022045235.1,Haliotis cracherodii,MCR03_S31_L004_R1_001.fastq.gz,MCR03_S31_L004_R2_001.fastq.gz,35.97968398,-121.490665,MCR03_S31_L004,x
MOL06,MOL06_S32_L004,GCA_022045235.1,Haliotis cracherodii,MOL06_S32_L004_R1_001.fastq.gz,MOL06_S32_L004_R2_001.fastq.gz,36.28030999,-121.86296,MOL06_S32_L004,x
MOL06,MOL06_S32_L003,GCA_022045235.1,Haliotis cracherodii,MOL06_S32_L003_R1_001.fastq.gz,MOL06_S32_L003_R2_001.fastq.gz,36.28030999,-121.86296,MOL06_S32_L003,x
MOL06,MOL06_S32_L001,GCA_022045235.1,Haliotis cracherodii,MOL06_S32_L001_R1_001.fastq.gz,MOL06_S32_L001_R2_001.fastq.gz,36.28030999,-121.86296,MOL06_S32_L001,x
MOL06,MOL06_S32_L002,GCA_022045235.1,Haliotis cracherodii,MOL06_S32_L002_R1_001.fastq.gz,MOL06_S32_L002_R2_001.fastq.gz,36.28030999,-121.86296,MOL06_S32_L002,x
PAR02,PAR02_S33_L003,GCA_022045235.1,Haliotis cracherodii,PAR02_S33_L003_R1_001.fastq.gz,PAR02_S33_L003_R2_001.fastq.gz,36.17386904,-121.696614,PAR02_S33_L003,x
PAR02,PAR02_S33_L004,GCA_022045235.1,Haliotis cracherodii,PAR02_S33_L004_R1_001.fastq.gz,PAR02_S33_L004_R2_001.fastq.gz,36.17386904,-121.696614,PAR02_S33_L004,x
PAR02,PAR02_S33_L002,GCA_022045235.1,Haliotis cracherodii,PAR02_S33_L002_R1_001.fastq.gz,PAR02_S33_L002_R2_001.fastq.gz,36.17386904,-121.696614,PAR02_S33_L002,x
PAR02,PAR02_S33_L001,GCA_022045235.1,Haliotis cracherodii,PAR02_S33_L001_R1_001.fastq.gz,PAR02_S33_L001_R2_001.fastq.gz,36.17386904,-121.696614,PAR02_S33_L001,x
PBL03,PBL03_S34_L002,GCA_022045235.1,Haliotis cracherodii,PBL03_S34_L002_R1_001.fastq.gz,PBL03_S34_L002_R2_001.fastq.gz,35.66507896,-121.287074,PBL03_S34_L002,x
PBL03,PBL03_S34_L003,GCA_022045235.1,Haliotis cracherodii,PBL03_S34_L003_R1_001.fastq.gz,PBL03_S34_L003_R2_001.fastq.gz,35.66507896,-121.287074,PBL03_S34_L003,x
PBL03,PBL03_S34_L004,GCA_022045235.1,Haliotis cracherodii,PBL03_S34_L004_R1_001.fastq.gz,PBL03_S34_L004_R2_001.fastq.gz,35.66507896,-121.287074,PBL03_S34_L004,x
PBL03,PBL03_S34_L001,GCA_022045235.1,Haliotis cracherodii,PBL03_S34_L001_R1_001.fastq.gz,PBL03_S34_L001_R2_001.fastq.gz,35.66507896,-121.287074,PBL03_S34_L001,x
PEB05,PEB05_S35_L001,GCA_022045235.1,Haliotis cracherodii,PEB05_S35_L001_R1_001.fastq.gz,PEB05_S35_L001_R2_001.fastq.gz,37.23263,-122.41607,PEB05_S35_L001,x
