BioSample,LibraryName,refGenome,Organism,fq1,fq2,Run,BioProject
MVZCCGP-AbeI_C06,MVZCCGP-AbeI_C06_S30_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C06_S30_L001_R1_001.fastq.gz,MVZCCGP-AbeI_C06_S30_L001_R2_001.fastq.gz,MVZCCGP-AbeI_C06_S30_L001,PRJNA778814
MVZCCGP-AbeI_C06,MVZCCGP-AbeI_C06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_C06_R1.fastq.gz,MVZCCGP-AbeI_C06_R2.fastq.gz,MVZCCGP-AbeI_C06,PRJNA778814
MVZCCGP-AbeI_D06,MVZCCGP-AbeI_D06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D06_R1.fastq.gz,MVZCCGP-AbeI_D06_R2.fastq.gz,MVZCCGP-AbeI_D06,PRJNA778814
MVZCCGP-AbeI_D06,MVZCCGP-AbeI_D06_S42_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_D06_S42_L001_R1_001.fastq.gz,MVZCCGP-AbeI_D06_S42_L001_R2_001.fastq.gz,MVZCCGP-AbeI_D06_S42_L001,PRJNA778814
MVZCCGP-AbeI_E06,MVZCCGP-AbeI_E06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E06_R1.fastq.gz,MVZCCGP-AbeI_E06_R2.fastq.gz,MVZCCGP-AbeI_E06,PRJNA778814
MVZCCGP-AbeI_E06,MVZCCGP-AbeI_E06_S54_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_E06_S54_L001_R1_001.fastq.gz,MVZCCGP-AbeI_E06_S54_L001_R2_001.fastq.gz,MVZCCGP-AbeI_E06_S54_L001,PRJNA778814
MVZCCGP-AbeI_F06,MVZCCGP-AbeI_F06_S66_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F06_S66_L001_R1_001.fastq.gz,MVZCCGP-AbeI_F06_S66_L001_R2_001.fastq.gz,MVZCCGP-AbeI_F06_S66_L001,PRJNA778814
MVZCCGP-AbeI_F06,MVZCCGP-AbeI_F06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_F06_R1.fastq.gz,MVZCCGP-AbeI_F06_R2.fastq.gz,MVZCCGP-AbeI_F06,PRJNA778814
MVZCCGP-AbeI_G06,MVZCCGP-AbeI_G06_S78_L001,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G06_S78_L001_R1_001.fastq.gz,MVZCCGP-AbeI_G06_S78_L001_R2_001.fastq.gz,MVZCCGP-AbeI_G06_S78_L001,PRJNA778814
MVZCCGP-AbeI_G06,MVZCCGP-AbeI_G06,GCA_021966175.1,Artemisiospiza,MVZCCGP-AbeI_G06_R1.fastq.gz,MVZCCGP-AbeI_G06_R2.fastq.gz,MVZCCGP-AbeI_G06,PRJNA778814
