
Clock type: CPU
Ordered by: totaltime, desc

name                                                                                                                      ncall       tsub      ttot      tavg      
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/sessions.py:74 <listcomp>                    29451       0.190244  1.039210  0.000035
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/common/__init__.py:70 parse_uri             1271        0.009205  1.039011  0.000817
..ntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/connectionpool.py:244 HTTPSConnectionPool._get_conn  9817        0.093905  1.027252  0.000105
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/models.py:544 PreparedRequest.prepare_auth   9817        0.070926  1.021940  0.000104
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/logging/__init__.py:1626 Logger.handle                              3777        0.022469  1.020230  0.000270
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/urllib/parse.py:494 urlunparse                                      19634       0.178114  1.018620  0.000052
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/urllib/parse.py:201 ParseResult._hostinfo                           78536       0.660633  1.013095  0.000013
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/utils.py:633 requote_uri                     9817        0.071217  1.009459  0.000103
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/logging/__init__.py:1680 Logger.callHandlers                        3777        0.037733  0.990324  0.000262
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/scheduler.py:518 JobScheduler._finish_jobs  9           0.009949  0.987848  0.109761
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/response.py:195 HTTPResponse.__init__         9817        0.321406  0.979278  0.000100
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/cookies.py:508 cookiejar_from_dict           19638       0.218030  0.976197  0.000050
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/_collections_abc.py:820 _Environ.__contains__                       49104       0.235694  0.969475  0.000020
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/snakemake/rules.py:1060 apply                         3630        0.044583  0.963035  0.000265
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/sessions.py:667 <listcomp>                   9817        0.043571  0.961880  0.000098
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/util/response.py:40 assert_header_parsing     9817        0.174498  0.961717  0.000098
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/urllib3/_collections.py:215 HTTPHeaderDict.add        106175      0.609668  0.956015  0.000009
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/logging/__init__.py:955 _StderrHandler.handle                       7553        0.080448  0.952591  0.000126
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/ssl.py:1225 SSLSocket.sendall                                       9819        0.201602  0.945795  0.000096
/home/ubuntu/miniconda3/envs/snakemake/lib/python3.10/site-packages/requests/models.py:606 Response.__init__              9817        0.156297  0.945117  0.000096
